顧客名,顧客区分,単価補正率,請求締日,支払条件,顧客ランク,年間売上,最終工事日,紹介元,対応エリア,注意事項,備考
株式会社伝元,元請A,1.00,月末,翌月末払い,A,8500000,2026-04-15,智紀さん知人,茨城県央,基準単価の元請。見積は必ず事前確認。,TOMS主要取引先
ひたち不動産管理株式会社,管理会社,1.10,20日,翌月20日払い,A,6200000,2026-05-10,既存顧客紹介,茨城県央,管理室経由で現場入館。オートロックあり。,
土浦建設工業株式会社,元請A,1.00,月末,翌月末払い,A,4800000,2026-03-22,智紀さん知人,茨城県央,,
株式会社つくば電設,元請B,0.90,月末,翌月末払い,B,3200000,2026-02-18,Web問合せ,茨城県央,単価交渉あり。追加見積は都度確認。,
水戸ハウジング株式会社,管理会社,1.10,15日,翌月15日払い,B,2100000,2025-12-05,チラシ,茨城県北,請求書は郵送必須。メール不可。,
株式会社北茨城工務店,工務店,1.00,都度,工事完了後30日,B,1800000,2026-01-30,既存顧客紹介,茨城県北,,
日立総合設備株式会社,元請A,1.00,月末,翌月末払い,A,5500000,2026-04-28,智紀さん知人,茨城県北,大規模案件あり。足場手配は別途。,
株式会社ライフサポートつくば,管理会社,1.10,月末,翌月末払い,B,1500000,2025-11-20,Web問合せ,茨城県央,,
常陸工務店,工務店,1.00,都度,工事完了後14日,C,680000,2025-09-15,チラシ,茨城県南,,
株式会社鹿島設備,元請B,0.90,月末,翌月末払い,B,2900000,2026-03-08,既存顧客紹介,茨城県央,,
つくば市役所（施設管理課）,法人,1.15,月末,翌々月10日払い,A,4200000,2026-05-01,Web問合せ,茨城県央,公共案件。見積書は指定フォーマット必須。,
株式会社アーバンホーム,管理会社,1.10,20日,翌月20日払い,B,1200000,2025-10-12,チラシ,茨城県央,,
個人 田中様,一般,1.20,都度,工事完了後即日,C,150000,2025-08-22,Web問合せ,茨城県央,,
個人 佐藤様,一般,1.20,都度,工事完了後即日,C,85000,2026-02-05,既存顧客紹介,茨城県北,,
株式会社千葉電工,元請A,1.00,月末,翌月末払い,B,2400000,2026-04-02,智紀さん知人,千葉県,千葉エリア対応可。出張費別途。,
株式会社プロパティリンク,管理会社,1.10,月末,翌月末払い,B,980000,2025-07-18,Web問合せ,茨城県央,,
古河電設株式会社,工務店,1.00,都度,工事完了後30日,B,1100000,2026-01-15,既存顧客紹介,茨城県央,,
株式会社スマートホーム茨城,法人,1.15,月末,翌月末払い,B,1650000,2025-12-28,Web問合せ,茨城県央,IoT案件多め。LAN・カメラ案件あり。,
龍ケ崎不動産管理,管理会社,1.10,15日,翌月15日払い,C,520000,2025-06-10,チラシ,茨城県央,,
株式会社TOMS協力店A,元請B,0.90,月末,翌月末払い,B,890000,2026-03-30,智紀さん知人,茨城県南,,
