型式,工事分類,作業内容,標準単価,備考
φ100,換気,交換,55000,
φ150,換気,交換,70000,
φ200,換気,交換,85000,
φ100,換気,新設,65000,
φ150,換気,新設,80000,
φ200,換気,新設,95000,
レンジフード,換気,交換,45000,
レンジフード,換気,新設,55000,
24時間換気,換気,交換,120000,
24時間換気,換気,新設,150000,
排気ファン,換気,交換,35000,
排気ファン,換気,新設,45000,
シーリング,照明,交換,8000,
シーリング,照明,新設,12000,
シーリング,照明,移設,10000,
ダウンライト,照明,交換,12000,
ダウンライト,照明,新設,18000,
ブラケット,照明,交換,6000,
ブラケット,照明,新設,9000,
直管40W,照明,交換,5000,
直管40W,照明,新設,8000,
LED電球,照明,交換,3000,
LED電球,照明,新設,3500,
人感センサー付,照明,交換,15000,
人感センサー付,照明,新設,20000,
非常灯,照明,交換,18000,
非常灯,照明,新設,25000,
2口,コンセント,新設,15000,
2口,コンセント,交換,8000,
2口,コンセント,移設,12000,
3口,コンセント,新設,18000,
3口,コンセント,交換,10000,
アース付2口,コンセント,新設,18000,
アース付2口,コンセント,交換,10000,
防水2口,コンセント,新設,20000,
防水2口,コンセント,交換,12000,
TV端子付,コンセント,新設,22000,
1口,スイッチ,交換,5000,
1口,スイッチ,新設,8000,
1口,スイッチ,移設,7000,
2口,スイッチ,交換,6000,
2口,スイッチ,新設,9000,
3口,スイッチ,交換,7000,
3口,スイッチ,新設,10000,
4口,スイッチ,交換,8000,
4口,スイッチ,新設,11000,
20+2,分電盤,交換,180000,
30+2,分電盤,交換,220000,
40+2,分電盤,交換,280000,
20+2,分電盤,新設,200000,
30+2,分電盤,新設,250000,
20+2,分電盤,移設,150000,
子メーター,分電盤,新設,35000,
子メーター,分電盤,交換,25000,
1点,LAN,新設,12000,
1点,LAN,交換,8000,
1点,LAN,移設,10000,
2点,LAN,新設,20000,
4点,LAN,新設,35000,
Cat6 10m,LAN,新設,8000,
Cat6 20m,LAN,新設,12000,
Cat6A 10m,LAN,新設,10000,
配線モール,LAN,新設,5000,
配線モール,LAN,交換,4000,
固定式,防犯カメラ,新設,45000,
固定式,防犯カメラ,交換,35000,
PTZ式,防犯カメラ,新設,85000,
PTZ式,防犯カメラ,交換,65000,
ドーム型,防犯カメラ,新設,55000,
ドーム型,防犯カメラ,交換,40000,
録画機4ch,防犯カメラ,新設,65000,
録画機8ch,防犯カメラ,新設,95000,
録画機16ch,防犯カメラ,新設,150000,
モニター,防犯カメラ,新設,25000,
UHF,アンテナ,新設,35000,
UHF,アンテナ,交換,28000,
BS/CS,アンテナ,新設,45000,
BS/CS,アンテナ,交換,38000,
UHF+BS/CS,アンテナ,新設,65000,
地デジブースター,アンテナ,新設,25000,
地デジブースター,アンテナ,交換,18000,
6畳,エアコン,交換,85000,
6畳,エアコン,新設,95000,
8畳,エアコン,交換,95000,
8畳,エアコン,新設,105000,
10畳,エアコン,交換,110000,
10畳,エアコン,新設,120000,
12畳,エアコン,交換,130000,
12畳,エアコン,新設,145000,
配管カバー,エアコン,新設,8000,
カメラ付1世帯,インターホン,新設,55000,
カメラ付1世帯,インターホン,交換,45000,
カメラ付2世帯,インターホン,新設,75000,
モニター付,インターホン,交換,35000,
チャイムのみ,インターホン,交換,15000,
チャイムのみ,インターホン,新設,20000,
200V専用,EV,新設,180000,
200V専用,EV,交換,150000,
100V普通,EV,新設,120000,
配線のみ,EV,新設,80000,
分電盤増設込,EV,新設,250000,
AP1台,Wi-Fi,新設,35000,
AP1台,Wi-Fi,交換,25000,
AP2台,Wi-Fi,新設,55000,
メッシュ2台,Wi-Fi,新設,65000,
メッシュ3台,Wi-Fi,新設,85000,
ブレーカー20A,その他,交換,8000,
ブレーカー30A,その他,交換,9000,
漏電ブレーカー,その他,交換,15000,
漏電ブレーカー,その他,新設,20000,
アース棒,その他,新設,25000,
アース棒,その他,交換,18000,
避雷針,その他,新設,85000,
避雷針,その他,交換,65000,
電気温水器,その他,交換,45000,
電気温水器,その他,新設,55000,
太陽光パワコン,その他,交換,120000,
電気メーター,その他,交換,35000,
高所作業費,その他,新設,15000,1箇所あたり
足場設置,その他,新設,80000,1式
既設撤去費,その他,撤去,5000,1箇所あたり
