デバイス,種別,名称,用途,備考
X0,入力,セレクタスイッチ,警戒ON,ON=警戒モード開始
X1,入力,非常停止ボタン,非常停止,ON=全停止・全出力OFF
X2,入力,ビームセンサー1,外周検知,警戒中にONでM1セット
X3,入力,ビームセンサー2,近接検知,警戒中にONでM2セット
Y0,出力,24V赤ライト,状態表示,警戒=低速点滅 / 近接警報=高速点滅
Y1,出力,100V白ライト1,外周警報,外周検知時 常時点灯
Y2,出力,100V白ライト2,外周警報,外周検知時 1秒点滅
Y3,出力,100V白ライト3,近接警報,近接検知時 常時点灯
Y4,出力,100V白ライト4,近接警報,近接検知時 常時点灯
M0,内部,警戒中,状態フラグ,X0でSET / X0 OFFまたはX1でRST
M1,内部,センサー1警報保持,外周ラッチ,M0中のX2でSET
M2,内部,センサー2警報保持,近接ラッチ,M0中のX3でSET
M10,内部,低速点滅用,テンプレ予約,将来TiSLY標準化用
M11,内部,高速点滅用,テンプレ予約,将来TiSLY標準化用
M20,内部,Y0制御,出力整理,Y0二重コイル回避
M8013,特殊,1秒クロック,点滅用,PLC内蔵（常時ON）
M8012,特殊,0.1秒クロック,点滅用,PLC内蔵（常時ON）
